Feature,Importance
weaptype1_txt,0.6269176067948982
targtype1_txt,0.07541558487191836
nkill,0.06727492436404267
nwound,0.05829406192192476
country_txt,0.052929766223321205
gname,0.049840465060172506
region_txt,0.036584354365663756
success,0.025597798245601818
suicide,0.00714543815245678
